longitude,latitude,altitude
13.287684,43.631127,96.1
13.288091,43.631111,95.7
13.288377,43.631067,95.8
13.288941,43.630887,96.7
13.290146,43.630493,96.1
13.29191,43.629994,89.4
13.292145,43.629913,88.3
13.292487,43.629789,87.0
13.292519,43.62973,86.6
13.29322,43.629292,84.6
13.293561,43.629148,84.2
13.294146,43.628811,83.3
13.294918,43.628122,81.3
13.295061,43.627976,81.1
13.295262,43.628106,80.3
13.295691,43.628339,78.4
13.296185,43.628572,76.7
13.2967,43.628665,74.7
13.297236,43.628743,72.3
13.297901,43.628603,69.0
13.298309,43.628432,67.0
13.298566,43.628168,64.9
13.299103,43.62719,58.1
13.299811,43.626693,55.1
13.30039,43.626475,53.4
13.300841,43.626397,52.3
13.301592,43.626537,50.1
13.301833,43.626566,49.7
13.301879,43.626252,48.7
13.301879,43.626116,48.4
13.30183,43.62595,48.1
13.301912,43.625916,47.7
13.30341,43.625122,43.5
13.306431,43.623472,32.8
13.306605,43.623396,32.4
13.307425,43.62312,30.3
13.307574,43.623084,30.1
13.307676,43.623089,29.9
13.307642,43.62302,29.7
13.306206,43.621816,29.6
13.305774,43.621478,29.9
13.305732,43.621415,30.0
13.305712,43.621333,30.1
13.305736,43.621266,30.1
13.30581,43.621199,30.2
13.306003,43.621097,30.3
13.3109,43.619381,25.2
13.312986,43.618497,21.7
13.31304,43.618452,21.6
13.313051,43.618351,21.4
13.313115,43.618285,21.3
13.315459,43.617359,19.5
13.317101,43.616538,18.9
13.317272,43.616475,18.8
13.317391,43.616444,18.8
13.317541,43.616443,18.8
13.31764,43.61646,18.8
13.319057,43.616859,18.7
13.31971,43.617013,18.6
13.319756,43.616864,18.6
13.320129,43.615826,18.2
13.320727,43.614227,17.5
13.320802,43.614021,17.4
13.321255,43.612811,17.0
13.322307,43.610002,17.7
13.322692,43.60895,18.0
13.322763,43.60876,18.0
13.323429,43.606977,18.5
13.323574,43.606584,18.7
13.323769,43.606023,19.1
13.3238,43.605935,19.2
13.323736,43.605738,19.5
13.323696,43.605695,19.6
13.323685,43.605654,19.7
13.323701,43.605602,19.8
13.323766,43.60555,19.9
13.323859,43.605534,20.0
13.323932,43.605499,20.1
13.324001,43.605446,20.2
13.324024,43.605383,20.3
13.32404,43.60534,20.4
13.324111,43.605142,20.6
13.324151,43.605034,20.7
13.324213,43.604869,20.8
13.324212,43.604784,20.9
13.324239,43.60471,20.9
13.324266,43.604661,21.0
13.324317,43.604615,21.0
13.324344,43.604583,21.0
13.324362,43.604555,21.0
13.324356,43.604533,21.0
13.324375,43.604492,21.0
13.324399,43.604478,21.0
13.324379,43.604421,21.0
13.324669,43.603491,20.7
13.324703,43.603391,20.7
13.325009,43.602523,20.3
13.325133,43.602228,20.2
13.325175,43.602131,20.1
13.325348,43.60196,20.1
13.325333,43.601911,20.1
13.32534,43.601851,20.2
13.325426,43.60157,20.4
13.325492,43.60152,20.5
13.325544,43.601498,20.6
13.32566,43.601456,20.7
13.325747,43.601435,20.8
13.325892,43.601415,20.9
13.326022,43.601413,21.0
13.326234,43.601439,21.1
13.326629,43.601515,21.4
13.326768,43.601542,21.5
13.327352,43.601657,21.8
13.327569,43.601697,21.8
13.327695,43.601726,21.8
13.328274,43.600776,21.3
13.328622,43.600208,21.0
13.328699,43.600079,21.0
13.328753,43.599984,21.0
13.329029,43.599494,21.0
13.329138,43.599244,21.0
13.329247,43.598768,21.0
13.329383,43.598165,21.0
13.329402,43.598082,21.0
13.329468,43.597792,21.0
13.330753,43.59804,21.0
13.331115,43.598108,20.5
13.331161,43.598379,19.7
13.331178,43.59847,19.5
13.331291,43.599064,18.0
13.331395,43.599496,17.0
13.331445,43.599558,16.7
13.331475,43.599583,16.5
13.331561,43.599636,16.3
13.33329,43.599839,16.4
13.333621,43.599875,16.4
13.334041,43.599911,16.5
13.334324,43.599912,16.5
13.334577,43.599865,16.5
13.334846,43.599797,16.6
13.335115,43.599694,16.6
